type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
CASH_OUT,183806.32,19391,0,382572.19,566378.51,0
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
PAYMENT,1,1000,999,0,0,1
